business_id	name	address	city	state	postal_code	latitude	longitude	stars	review_count	is_open	categories	hours_monday	hours_tuesday	hours_wednesday	hours_thursday	hours_friday	hours_saturday	hours_sunday
qy_Diq1kaT-iCLxQT6Em0w	Indiana's Finest Wrecker	7576 W Washington St	Indianapolis	IN	46231	39.7399	-86.292984	1.5	15	True	Auto Repair,Automotive,Towing,Roadside Assistance	Closed	Closed	Closed	Closed	Closed	Closed	Closed
pzpgbgvkncjiCJtPok70rw	Edible Arrangements	14819 Clayton Rd	Chesterfield	MO	63017	38.6173873	-90.5389644	2.0	6	True	Fruits & Veggies,Food,Florists,Gift Shops,Specialty Food,Chocolatiers & Shops,Shopping,Flowers & Gifts	Closed	Closed	Closed	Closed	Closed	Closed	Closed
c6XVnUpPx-Hq9KWnuelOmg	China Garden	856 S Broad St	Trenton	NJ	08611	40.2072297	-74.7500972	3.5	5	True	Restaurants,Chinese	Closed	Closed	Closed	Closed	Closed	Closed	Closed
KftJdNYJbdh_OIQvtQ6siA	Unique Barber Shop	1211 Kings Hwy N	Cherry Hill	NJ	08034	39.918932	-75.004235	3.5	6	True	Barbers,Beauty & Spas	Closed	Closed	Closed	Closed	Closed	Closed	Closed
Nic5vtgbHKBdUikuCQLPGA	Arbors at Carrollwood-ResProp Management	3939 Ehrlich Rd	Tampa	FL	33624	28.0866589	-82.5107584	3.0	6	False	Apartments,Real Estate,Home Services	Closed	Closed	Closed	Closed	Closed	Closed	Closed
7S6CfTTNIkC-gs-ttUn3ig	Gone To the Dogs Boutique	310 Corey Ave	St. Pete Beach	FL	33706	27.7425092	-82.748794	4.0	17	True	Pet Services,Pets,Pet Groomers,Pet Stores	Closed	Closed	Closed	Closed	Closed	Closed	Closed
A-AojrfhbZDHKGQQaYbg2g	Albed Rug Company	513 W Lancaster Ave	Wayne	PA	19087	40.0453887555	-75.4024635205	4.0	9	True	Local Services,Carpeting,Home Services,Carpet Cleaning	Closed	Closed	Closed	Closed	Closed	Closed	Closed
SrhzFNOXxMb6HSsxT57S3A	Moreno Spine and Scoliosis	3251 McMullen Booth Rd, Ste 301	Clearwater	FL	33761	28.0400762	-82.7083317	4.0	13	True	Doctors,Orthopedists,Pain Management,Spine Surgeons,Health & Medical,Physical Therapy	Closed	Closed	Closed	Closed	Closed	Closed	Closed
mL4WPzID6M2vvJQ4IDX-OQ	The Snooty Fox	149 Wilson Pike Cir	Brentwood	TN	37027	35.9982852659	-86.7930221558	5.0	6	True	Shopping,Home & Garden,Art Galleries,Arts & Entertainment,Interior Design,Home Services,Home Decor,Furniture Stores	Closed	Closed	Closed	Closed	Closed	Closed	Closed
8ExY29Snqhel-301WOzwsQ	WOW Cafe - Tulane & Galvez	2220 Tulane Ave	New Orleans	LA	70119	29.9591475901	-90.0852715061	4.0	5	False	Bars,Chicken Wings,Restaurants,Nightlife,Sports Bars,African,American (New)	Closed	Closed	Closed	Closed	Closed	Closed	Closed
